session_id,variant,persona,run_label,data_source,first_key_action_taken,task_completed,session_duration,num_events,,,,
realA_009,A,real_bridge_77,,real_imputed_users,0,0,16,4,,,,
realA_010,A,real_bridge_77,,real_imputed_users,0,0,12,5,,,,
realA_011,A,real_bridge_77,,real_imputed_users,0,0,23,8,,,,
realA_012,A,real_bridge_77,,real_imputed_users,0,1,46,11,,,,
realA_013,A,real_bridge_77,,real_imputed_users,1,1,15,2,,,,
realA_014,A,real_bridge_77,,real_imputed_users,0,1,30,9,,,,
realA_015,A,real_bridge_77,,real_imputed_users,1,0,42,3,,,,
realA_016,A,real_bridge_77,,real_imputed_users,0,0,33,7,,,,
realA_017,A,real_bridge_77,,real_imputed_users,0,0,30,6,,,,
realA_018,A,real_bridge_77,,real_imputed_users,0,0,42,13,,,,
realA_019,A,real_bridge_77,,real_imputed_users,0,0,19,5,,,,
realA_020,A,real_bridge_77,,real_imputed_users,0,0,25,2,,,,
realA_021,A,real_bridge_77,,real_imputed_users,1,0,27,4,,,,
realA_022,A,real_bridge_77,,real_imputed_users,0,0,30,2,,,,
realA_023,A,real_bridge_77,,real_imputed_users,1,0,48,6,,,,
realA_024,A,real_bridge_77,,real_imputed_users,1,1,14,2,,,,
realA_025,A,real_bridge_77,,real_imputed_users,1,1,53,7,,,,
realA_026,A,real_bridge_77,,real_imputed_users,0,1,51,2,,,,
realA_027,A,real_bridge_77,,real_imputed_users,1,1,39,2,,,,
realA_028,A,real_bridge_77,,real_imputed_users,1,1,7,1,,,,
realA_029,A,real_bridge_77,,real_imputed_users,1,1,11,2,,,,
realA_030,A,real_bridge_77,,real_imputed_users,1,0,76,7,,,,
realA_031,A,real_bridge_77,,real_imputed_users,1,0,25,3,,,,
realA_032,A,real_bridge_77,,real_imputed_users,1,0,101,7,,,,
realA_033,A,real_bridge_77,,real_imputed_users,1,0,65,5,,,,
realA_034,A,real_bridge_77,,real_imputed_users,1,0,87,8,,,,
realA_035,A,real_bridge_77,,real_imputed_users,1,0,68,1,,,,
realA_036,A,real_bridge_77,,real_imputed_users,1,0,92,14,,,,
realB_001,B,real_bridge_77,,real_imputed_users,1,0,70,9,,,,
realB_002,B,real_bridge_77,,real_imputed_users,1,0,102,9,,,,
realB_003,B,real_bridge_77,,real_imputed_users,1,0,86,6,,,,
realB_004,B,real_bridge_77,,real_imputed_users,1,0,72,12,,,,
realB_005,B,real_bridge_77,,real_imputed_users,1,0,104,10,,,,
realB_006,B,real_bridge_77,,real_imputed_users,1,0,60,4,,,,
realB_007,B,real_bridge_77,,real_imputed_users,1,0,59,3,,,,
realB_008,B,real_bridge_77,,real_imputed_users,1,0,21,1,,,,
realB_009,B,real_bridge_77,,real_imputed_users,1,1,95,7,,,,
realB_010,B,real_bridge_77,,real_imputed_users,1,1,48,4,,,,
realB_011,B,real_bridge_77,,real_imputed_users,1,1,39,2,,,,
realB_012,B,real_bridge_77,,real_imputed_users,1,1,96,13,,,,
realB_013,B,real_bridge_77,,real_imputed_users,1,1,101,12,,,,
realB_014,B,real_bridge_77,,real_imputed_users,1,1,47,9,,,,
realB_015,B,real_bridge_77,,real_imputed_users,1,1,81,6,,,,
realB_016,B,real_bridge_77,,real_imputed_users,1,1,95,13,,,,
realB_017,B,real_bridge_77,,real_imputed_users,1,1,51,8,,,,
realB_018,B,real_bridge_77,,real_imputed_users,1,1,35,5,,,,
realB_019,B,real_bridge_77,,real_imputed_users,1,0,23,1,,,,
realB_020,B,real_bridge_77,,real_imputed_users,1,0,83,9,,,,
realB_021,B,real_bridge_77,,real_imputed_users,1,0,62,12,,,,
realB_022,B,real_bridge_77,,real_imputed_users,0,0,75,14,,,,
realB_023,B,real_bridge_77,,real_imputed_users,1,0,84,11,,,,
realB_024,B,real_bridge_77,,real_imputed_users,1,0,185,15,,,,
realB_025,B,real_bridge_77,,real_imputed_users,1,0,148,20,,,,
realB_026,B,real_bridge_77,,real_imputed_users,1,0,205,10,,,,
realB_027,B,real_bridge_77,,real_imputed_users,0,0,194,17,,,,
realB_028,B,real_bridge_77,,real_imputed_users,1,1,154,7,,,,
realB_029,B,real_bridge_77,,real_imputed_users,1,1,208,11,,,,
realB_030,B,real_bridge_77,,real_imputed_users,1,1,208,14,,,,
realB_031,B,real_bridge_77,,real_imputed_users,1,1,157,20,,,,
realB_032,B,real_bridge_77,,real_imputed_users,0,1,136,15,,,,
realB_033,B,real_bridge_77,,real_imputed_users,1,1,155,8,,,,
realB_034,B,real_bridge_77,,real_imputed_users,1,1,186,13,,,,
realB_035,B,real_bridge_77,,real_imputed_users,0,1,135,18,,,,
realB_036,B,real_bridge_77,,real_imputed_users,0,0,163,17,,,,
realB_037,B,real_bridge_77,,real_imputed_users,0,0,171,5,,,,
realB_038,B,real_bridge_77,,real_imputed_users,1,0,135,9,,,,
realB_039,B,real_bridge_77,,real_imputed_users,0,1,197,7,,,,
realB_040,B,real_bridge_77,,real_imputed_users,0,1,193,16,,,,
realB_041,B,real_bridge_77,,real_imputed_users,0,0,154,22,,,,
