"session_id","variant","persona","run_label","first_key_action_taken","task_completed","session_duration","num_events"
"20260413144725-FMujb333zl","A","goal_oriented","full",TRUE,TRUE,5.42,13
"20260413144731-pNn2CbSoqL","A","goal_oriented","full",TRUE,TRUE,5.49,13
"20260413144737-cZvA4yM0nM","A","exploratory","full",TRUE,TRUE,6.67,12
"20260413144744-adntUFCdk5","A","hesitant","full",FALSE,FALSE,1.55,3
"20260413144746-OepEGciln0","A","goal_oriented","full",TRUE,TRUE,5.48,12
"20260413144752-mXiGauZ4gD","A","goal_oriented","full",FALSE,FALSE,1.35,3
"20260413144754-LiyUmhx5tu","A","exploratory","full",TRUE,FALSE,5.76,7
"20260413144800-OmsKtw9l35","A","hesitant","full",FALSE,FALSE,1.44,3
"20260413144802-ICMiCnCZFn","A","exploratory","full",FALSE,FALSE,2.53,3
"20260413144805-79zcBxiRmT","A","exploratory","full",TRUE,FALSE,3.34,5
"20260413144808-UUQZGraDXc","A","exploratory","full",FALSE,FALSE,2.65,3
"20260413144811-yxAejdLFRM","A","exploratory","full",TRUE,FALSE,5.69,7
"20260413144817-JXo1mT4BuW","A","exploratory","full",TRUE,FALSE,2.65,5
"20260413144821-saK7R3LNB3","A","exploratory","full",TRUE,TRUE,6.93,13
"20260413144828-nzFdxW6PWg","A","exploratory","full",TRUE,TRUE,6.8,14
"20260413144835-xyVEFwd2xY","A","goal_oriented","full",TRUE,FALSE,3.02,7
"20260413144839-wurFAYTPuA","A","hesitant","full",FALSE,FALSE,1.44,3
"20260413144840-4WRKohdNbd","A","goal_oriented","full",TRUE,FALSE,2.92,6
"20260413144844-7RkwqaakUX","A","goal_oriented","full",TRUE,TRUE,5.53,13
"20260413144850-YuKDLWql7w","A","goal_oriented","full",TRUE,TRUE,4.36,10
"20260413144854-Pelq7L9Erh","A","goal_oriented","full",TRUE,TRUE,4.78,10
"20260413144900-IhWA9W5V7c","A","goal_oriented","full",TRUE,FALSE,2.58,7
"20260413144903-RVldW7Adz2","A","hesitant","full",FALSE,FALSE,1.65,3
"20260413144904-TlRm9x9mwg","A","exploratory","full",TRUE,FALSE,5.43,7
"20260413144910-lVj1NAqEHz","A","exploratory","full",TRUE,FALSE,1.84,6
"20260413144912-ZwXmoKR8oG","A","goal_oriented","full",TRUE,TRUE,4.49,12
"20260413144917-qdY3rWUXIl","A","hesitant","full",FALSE,FALSE,1.84,3
"20260413144919-wLbiByJYKL","A","goal_oriented","full",TRUE,FALSE,2.46,6
"20260413144922-xKhZWy7op2","A","exploratory","full",TRUE,FALSE,2.68,7
"20260413144925-s3YjPEbmCV","A","exploratory","full",TRUE,TRUE,5.52,11
"20260413144931-1MFdJlBPZN","A","goal_oriented","full",TRUE,TRUE,4.66,10
"20260413144936-wbevOCC8IL","A","hesitant","full",FALSE,FALSE,1.23,3
"20260413144938-vB31hBMapg","A","exploratory","full",TRUE,FALSE,4.25,8
"20260413144942-wbeioluYSc","A","hesitant","full",FALSE,FALSE,1.57,3
"20260413144944-qnFMcysxMG","A","exploratory","full",TRUE,FALSE,2.35,6
"20260413144947-wJx9F1nmXe","A","hesitant","full",FALSE,FALSE,1.49,3
"20260413144949-p4tfiL5wKO","A","goal_oriented","full",TRUE,FALSE,2.48,6
"20260413144951-fU5Zl7WfGR","A","goal_oriented","full",TRUE,TRUE,4.69,10
"20260413144956-717pVWcm4k","A","exploratory","full",FALSE,FALSE,2.92,3
"20260413145000-0mE2qj1d4H","A","hesitant","full",FALSE,FALSE,1.18,3
"20260413145001-LxFNKmVdIK","A","hesitant","full",FALSE,FALSE,1.22,3
"20260413145003-vqqaKetcYj","A","goal_oriented","full",TRUE,TRUE,4.79,13
"20260413145008-CY3lyj59RB","A","hesitant","full",FALSE,FALSE,1.25,3
"20260413145009-uH97sH0v3d","A","exploratory","full",TRUE,FALSE,2.78,6
"20260413145012-A7gSTlXvSu","A","exploratory","full",TRUE,TRUE,5.33,10
"20260413145018-G5f5wMPjfI","A","exploratory","full",TRUE,FALSE,3.68,6
"20260413145022-wRqMnQyVpy","A","goal_oriented","full",FALSE,FALSE,1.82,3
"20260413145024-R4To7Xv2Lt","A","goal_oriented","full",TRUE,TRUE,4.71,11
"20260413145029-KhX4Z2u4yG","A","exploratory","full",TRUE,TRUE,5.18,10
"20260413145035-Va6NwR0AO9","A","goal_oriented","full",TRUE,TRUE,4.65,11
"20260413145040-rDiLnq0a0K","A","goal_oriented","full",FALSE,FALSE,1.42,3
"20260413145042-FD2flE08P8","A","goal_oriented","full",TRUE,TRUE,4.66,10
"20260413145047-rcL6Zl0AMv","A","exploratory","full",TRUE,TRUE,4.67,11
"20260413145052-EMrNVRt7Vt","A","hesitant","full",FALSE,FALSE,1.26,3
"20260413145053-DuroUpMvQk","B","goal_oriented","full",TRUE,TRUE,4.56,11
"20260413145058-0L9TGnaPSy","B","hesitant","full",FALSE,FALSE,1.26,3
"20260413145100-f5gvax6gOb","B","goal_oriented","full",TRUE,TRUE,4.47,10
"20260413145104-UcgI2o8RZE","B","goal_oriented","full",TRUE,TRUE,4.76,13
"20260413145109-e6A7rSjo8m","B","hesitant","full",FALSE,FALSE,1.38,3
"20260413145111-15dH3f0oHm","B","exploratory","full",TRUE,TRUE,5.58,11
"20260413145117-pDGLqNrmUx","B","goal_oriented","full",TRUE,TRUE,4.55,11
"20260413145122-1cmUmsoMxu","B","exploratory","full",TRUE,TRUE,5.57,10
"20260413145128-VxPbYjq2Lr","B","exploratory","full",TRUE,TRUE,6.08,13
"20260413145134-HhAHNWOmBi","B","goal_oriented","full",TRUE,TRUE,4.59,13
"20260413145139-PiaeDlfRqI","B","hesitant","full",FALSE,FALSE,1.28,3
"20260413145141-qtMzgDdmt9","B","exploratory","full",TRUE,FALSE,5.76,8
"20260413145147-CNXiC6pCLI","B","exploratory","full",TRUE,FALSE,3.12,5
"20260413145150-Bdf92lAxpW","B","exploratory","full",FALSE,FALSE,3.7,3
"20260413145154-1eGyIx6QSU","B","exploratory","full",TRUE,TRUE,5.72,11
"20260413145200-GSGvn5A8qK","B","goal_oriented","full",TRUE,TRUE,4.54,11
"20260413145205-Q9VstBoP5U","B","hesitant","full",TRUE,FALSE,1.73,5
"20260413145207-nGd1CLQkSg","B","exploratory","full",TRUE,TRUE,5.79,10
"20260413145213-upD2B1Hq57","B","goal_oriented","full",FALSE,FALSE,1.16,3
"20260413145215-0qNxh6B8D8","B","exploratory","full",TRUE,FALSE,5.67,7
"20260413145221-F6ZSuguu6i","B","goal_oriented","full",TRUE,FALSE,2.53,7
"20260413145224-1xv453i4VU","B","goal_oriented","full",TRUE,FALSE,2.58,7
"20260413145227-WUq3kGqXZl","B","goal_oriented","full",TRUE,FALSE,2.45,6
"20260413145229-lPgbluhja8","B","exploratory","full",TRUE,FALSE,3.16,6
"20260413145233-prlKeFJpm5","B","exploratory","full",TRUE,FALSE,2.79,5
"20260413145236-Hu6StijBpb","B","exploratory","full",TRUE,FALSE,3.03,5
"20260413145239-MPzx6vqcFV","B","hesitant","full",FALSE,FALSE,1.66,3
"20260413145241-Zq0CAQtrWa","B","goal_oriented","full",TRUE,TRUE,4.73,12
"20260413145246-LYQn0UYpzu","B","exploratory","full",TRUE,TRUE,4.56,11
"20260413145251-352a6dlEcQ","B","exploratory","full",TRUE,TRUE,5.84,11
"20260413145257-JBjWyA2c17","B","goal_oriented","full",TRUE,TRUE,5.15,10
"20260413145303-DeY3ANyc96","B","goal_oriented","full",TRUE,TRUE,4.65,11
"20260413145308-gNedPSnSwV","B","hesitant","full",FALSE,FALSE,1.64,3
"20260413145310-AF6cxj6CkG","B","exploratory","full",TRUE,TRUE,5.93,13
"20260413145316-hvGLgDJmWR","B","goal_oriented","full",TRUE,TRUE,4.45,10
"20260413145321-KoPLB2lzjj","B","exploratory","full",TRUE,TRUE,4.91,10
"20260413145326-bJqNrh7Awb","B","hesitant","full",FALSE,FALSE,1.28,3
"20260413145328-jZywmedSNW","B","hesitant","full",FALSE,FALSE,1.25,3
"20260413145329-HUjIMI2Z14","B","goal_oriented","full",TRUE,TRUE,4.4,10
"20260413145334-dTnjCtiAjb","B","goal_oriented","full",TRUE,FALSE,2.24,7
"20260413145337-E1kMI2x8Va","B","exploratory","full",TRUE,TRUE,6.85,12
"20260413145344-1JhkDMc49l","B","exploratory","full",TRUE,FALSE,5.02,7
"20260413145349-jU1Em5sEo6","B","hesitant","full",TRUE,FALSE,1.89,5
"20260413145351-NuwoGR2vpZ","B","goal_oriented","full",TRUE,TRUE,4.45,11
"20260413145356-yQPEzRSnpj","B","hesitant","full",FALSE,FALSE,1.58,3
"20260413145358-w5G0vcBICe","B","hesitant","full",FALSE,FALSE,1.56,3
"20260413145400-nvdh1TVukH","B","goal_oriented","full",TRUE,TRUE,4.45,12
"20260413145405-FTJZ94PdiG","B","goal_oriented","full",TRUE,TRUE,4.45,11
"20260413145410-zQGnJ3VXU7","B","exploratory","full",TRUE,TRUE,5.68,11
"20260413145416-hTezYGISaE","B","hesitant","full",TRUE,FALSE,1.63,5
"20260413145417-icgExwCuah","B","exploratory","full",TRUE,FALSE,2.55,6
"20260413145420-sBwBMTBBqh","B","exploratory","full",TRUE,FALSE,2.74,6
"20260413145423-4Qpt1Xjrfx","B","goal_oriented","full",TRUE,TRUE,4.48,13
"20260413145428-0vIzil3Hgv","B","exploratory","full",TRUE,TRUE,5.46,10
"20260413145434-nblBfM8llo","B","exploratory","full",TRUE,FALSE,2.92,7
"20260413145437-iZZISpYAcT","B","goal_oriented","full",TRUE,FALSE,3,7
"20260413145441-RIz8NUPNAq","B","hesitant","full",FALSE,FALSE,1.65,3
"20260413145443-U9y5qL0vrn","B","goal_oriented","full",TRUE,TRUE,4.52,11
"20260413145447-jNBud8bYt6","B","goal_oriented","full",TRUE,TRUE,4.69,13
"20260413145452-0zdd9A5x94","B","goal_oriented","full",FALSE,FALSE,1.56,3
"20260413145454-ISq5KKavzF","B","hesitant","full",TRUE,FALSE,2.44,7
"20260413145457-XPZk9oLJUB","B","goal_oriented","full",TRUE,FALSE,2.45,6
"20260413145500-u72wie2Qwk","B","hesitant","full",TRUE,FALSE,2.38,7
"20260413145503-1H75a8r8ap","B","exploratory","full",TRUE,FALSE,3.81,5
"20260413145507-1ZNjHP7Jxp","B","exploratory","full",TRUE,FALSE,4.4,7
"20260413145511-mqSIZkQJlQ","B","exploratory","full",FALSE,FALSE,2.36,3
"20260413145514-1UkjuDNok5","B","hesitant","full",FALSE,FALSE,1.69,3
"20260413145516-zDB26OuPYk","B","goal_oriented","full",TRUE,FALSE,2.74,6
"20260413145519-cblkVgyeTe","B","exploratory","full",TRUE,TRUE,4.52,10
"20260413145524-Oua5pk9yzm","B","exploratory","full",TRUE,FALSE,5.4,8
"20260413145530-J9GBK0dj7v","B","exploratory","full",TRUE,TRUE,6.01,12
"20260413145536-ofblSztTlu","B","exploratory","full",TRUE,FALSE,2.81,5
"20260413145539-fitgYxFkWG","B","exploratory","full",TRUE,FALSE,2.83,7
"20260413145542-opqj8J22tG","B","exploratory","full",TRUE,TRUE,5.74,13
"20260413145548-9VaWOfVwUJ","B","goal_oriented","full",TRUE,TRUE,4.52,10
"20260413145553-ewYYMubGE5","B","hesitant","full",TRUE,TRUE,4.87,11
"20260413145558-B57RkYkII6","B","goal_oriented","full",TRUE,TRUE,4.38,10
"20260413145603-mIrSmx5ReJ","B","exploratory","full",TRUE,TRUE,6.41,10
"20260413145610-l8pvWPrnpS","B","exploratory","full",FALSE,FALSE,2.38,3
"20260413145613-wMHAMQaEv0","B","exploratory","full",TRUE,TRUE,5.95,10
"20260413145619-nWwC7CqzNU","B","goal_oriented","full",TRUE,TRUE,4.81,13
"20260413145624-66qk5HKoT8","B","goal_oriented","full",TRUE,TRUE,4.53,13
"20260413145629-B3fMuh3Ify","B","hesitant","full",FALSE,FALSE,1.26,3
"20260413145631-ldx5DjhL47","B","exploratory","full",TRUE,FALSE,2.93,5
"20260413145634-kOaWiZq5CC","B","goal_oriented","full",TRUE,FALSE,2.18,6
"20260413145636-sZanN6D8Cj","B","exploratory","full",TRUE,FALSE,3.18,7
"20260413145640-62azxrTLD1","B","goal_oriented","full",TRUE,TRUE,4.51,11
"20260413145645-npkl0hGqdE","B","hesitant","full",FALSE,FALSE,1.7,3
"20260413145647-BWRlEzWX1y","B","hesitant","full",FALSE,FALSE,1.7,3
"20260413145649-jChxpfc2ma","B","goal_oriented","full",TRUE,FALSE,2.25,7
"20260413145651-BYeYKxEOtV","B","goal_oriented","full",FALSE,FALSE,1.41,3
"20260413145653-RyZuEXQkwf","B","goal_oriented","full",TRUE,FALSE,2.43,7
"20260413145656-IHTrUJSjGP","B","exploratory","full",TRUE,FALSE,2.95,8
"20260413145659-n5oZebHhhJ","B","hesitant","full",FALSE,FALSE,1.42,3
"20260413145701-51RgYeHiaA","B","hesitant","full",FALSE,FALSE,1.45,3
"20260413145703-zZJpOlGu3s","B","hesitant","full",FALSE,FALSE,1.8,3
"20260413145705-vZbIdpqhdB","B","hesitant","full",FALSE,FALSE,1.86,3
"20260413145707-qx20BgahhF","B","exploratory","full",TRUE,TRUE,6.49,11
"20260413145714-2aYIQml3bw","B","exploratory","full",TRUE,FALSE,2.34,5
"20260413145716-AOVxDMXYTH","B","hesitant","full",FALSE,FALSE,1.44,3
